latitude,longitude,nwk
-3.662747,128.167873,22
-3.662747,128.167873,13
-3.679433,128.2269,0
-3.684129,13.350319,7
-3.685745,128.189063,2
-3.688889,128.186389,12
-3.703457,138.207886,1
-3.707427,128.169958,0
-3.709348,137.975013,5
-3.721569,138.060511,15
-3.721569,138.060511,1
-3.763848,137.086333,4
-3.798243,137.783489,3
-3.816885,39.630857,1
-3.95,39.744444,5
-3.95024,39.744382,32
-30.721531,30.4636,2
-31.414637,23.94358,0
-31.416743,23.944377,0
-31.743357,115.764172,0
-31.743357,115.764172,0
-31.952854,115.857339,0
-33.46912,-70.641997,0
-33.46912,-70.641997,0
-33.724162,151.085374,0
-33.815128,151.003155,0
-33.922832,151.011897,0
-33.963864,18.502495,0
-33.974952,18.543348,0
-34.590556,-58.390556,0
-34.605279,-58.375866,0
-34.6105,-58.3976,2
-36.84846,174.763332,0
-37.813187,144.96298,0
-38.16402,-72.903185,0
-38.667719,-72.224441,2
-38.948921,-72.331113,1
-38.9573,-72.626929,0
-4.003709,39.600508,8
-4.02258,39.68801,15
-4.024563,39.705227,3
-4.027289,138.806534,0
-4.043477,39.668206,5
-4.043477,39.668206,1
-4.043856,39.665701,2
-4.055117,137.100807,1
-4.058856,39.237762,1
-4.061707,39.664285,4
-4.083611,137.184722,6
-4.083611,137.184722,2
-4.085682,137.189044,3
-4.092902,39.661445,16
-4.092902,39.661445,0
-4.092903,39.661578,0
-4.096378,138.9514,3
-4.096378,138.9514,0
-4.09989,137.163391,2
-4.1266,39.626455,3
-4.266966,137.0472,1
-4.289796,39.567371,1
-4.330066,136.91186,0
-4.330958,15.325786,33
-4.330958,15.325786,8
-4.467386,138.350384,6
-4.548563,136.890763,2
-4.55013,136.889096,13
-4.55013,136.889096,1
-4.55013,136.889096,0
-4.55013,136.889096,5
-4.55013,136.889096,2
-4.55013,136.889096,2
-4.551947,136.885009,1
-4.551947,136.885009,0
-4.722688,136.4922,0
-4.775278,136.558611,0
-41.133472,-71.310278,0
-41.28646,174.776236,0
-41.28646,174.776236,0
-41.28646,174.776236,0
-41.28646,174.776236,0
-41.28646,174.776236,0
-41.28646,174.776236,0
